,TrapFactor,Station,Date,Latitude,Longitude,weekNumber,Tmax,Tmin,Tavg,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,DewPoint,Sunrise,Sunset,SevendaymedianTmp,ThreedaymedianTmp,SevendaymedianMinTmp,ThreedaymedianMinTmp,RelHumidity,V1_detailed,WnvPresent_detailed,RESTUANS_detailed,PIPENS_detailed,PIPIENS-RESTUANS_detailed,TERRITANS_detailed,SALINARIUS_detailed,ERRATICUS_detailed,TARSALIS_detailed
25,T002,2,6/5/2007,41.95469,-87.800991,23,63,51,57,0.27,29.16,29.78,6.2,3,8.1,47,417,1923,69,58,57,48,69.17919044473983,9,0,1,1,1,0,0,0,0
26,T002,2,6/5/2009,41.95469,-87.800991,22,80,47,64,0.0,29.23,29.91,6.3,25,7.2,43,417,1923,64,61,52,51,46.34538974472218,5,0,1,0,1,0,0,0,0
27,T002,2,6/7/2013,41.95469,-87.800991,22,68,54,61,0.0,29.26,29.92,8.8,2,9.2,44,417,1924,68,62,55,50,53.51689345100418,19,0,1,0,0,0,0,0,0
28,T002,2,7/10/2009,41.95469,-87.800991,27,84,67,76,0.12,29.41,30.04,3.6,21,4.6,65,425,1929,72,76,63,67,68.76831510279386,165,0,1,1,1,0,0,0,0
29,T002,2,7/11/2007,41.95469,-87.800991,28,77,63,70,0.0,29.28,29.92,9.1,30,11.2,51,426,1928,70,70,61,61,50.916423485910975,27,0,1,1,1,0,0,0,0
30,T002,2,7/11/2011,41.95469,-87.800991,28,90,70,80,0.13,29.18,29.81,5.3,24,8.0,70,426,1928,74,80,66,70,71.6029668387688,46,0,1,1,1,0,0,0,0
31,T002,2,7/12/2013,41.95469,-87.800991,27,82,60,71,0.0,29.44,30.09,4.1,8,5.4,54,427,1928,80,73,71,62,54.95084226417701,582,0,1,0,1,0,0,0,0
32,T002,2,7/15/2011,41.95469,-87.800991,28,86,71,79,0.0,29.33,29.96,6.2,10,6.8,60,429,1926,82,80,74,71,52.22353196842017,54,0,1,0,1,0,0,0,0
33,T002,2,7/17/2009,41.95469,-87.800991,28,70,58,64,0.0,29.21,29.86,10.1,29,10.4,52,431,1925,66,65,58,58,64.99819801604751,113,0,1,1,1,0,0,0,0
34,T002,2,7/18/2007,41.95469,-87.800991,29,85,69,77,0.92,29.18,29.83,10.3,24,10.6,69,432,1924,68,73,62,63,76.37954483234944,13,0,1,1,1,0,0,0,0
35,T002,2,7/19/2013,41.95469,-87.800991,28,97,75,86,0.0,29.17,29.82,13.4,24,13.9,69,433,1923,80,80,72,72,57.000683314065704,34,0,1,0,0,0,0,0,0
36,T002,2,7/2/2007,41.95469,-87.800991,27,77,58,68,0.0,29.55,30.21,7.4,12,8.5,50,420,1931,76,72,67,60,52.54132558106588,5,0,1,0,1,0,0,0,0
37,T002,2,7/24/2009,41.95469,-87.800991,29,83,62,73,0.19,29.14,29.82,8.7,23,9.6,60,437,1919,74,74,64,66,63.75884189409329,237,1,1,1,1,0,0,0,0
38,T002,2,7/25/2011,41.95469,-87.800991,30,90,73,82,0.01,29.25,29.89,2.1,35,6.1,67,438,1918,80,79,72,72,60.52200223913138,29,0,1,0,1,0,0,0,0
39,T002,2,7/25/2013,41.95469,-87.800991,29,81,58,70,0.0,29.39,30.05,2.7,23,3.9,52,438,1918,63,70,57,62,52.83156593782089,28,0,1,1,1,0,0,0,0
40,T002,2,7/27/2007,41.95469,-87.800991,30,83,70,77,0.04,29.16,29.8,1.2,36,8.1,67,440,1917,76,75,66,70,71.30206812410943,35,0,1,1,1,0,0,0,0
41,T002,2,7/29/2011,41.95469,-87.800991,30,86,74,80,0.36,29.34,29.96,3.5,4,5.6,69,442,1915,80,80,73,68,69.19708443215043,44,0,1,1,1,0,0,0,0
42,T002,2,7/31/2009,41.95469,-87.800991,30,82,62,72,0.0,29.29,29.92,5.9,27,6.7,55,444,1913,69,69,62,62,55.091227971046706,21,0,1,1,1,0,0,0,0
43,T002,2,7/6/2009,41.95469,-87.800991,27,85,63,74,0.0,29.2,29.84,4.2,30,5.5,54,423,1930,69,71,62,63,49.659407487470894,16,0,1,1,1,0,0,0,0
44,T002,2,7/8/2013,41.95469,-87.800991,27,87,71,79,0.84,29.31,29.95,10.0,22,10.5,70,424,1929,77,79,66,73,73.98921543414879,246,0,1,0,1,0,0,0,0
45,T002,2,8/1/2007,41.95469,-87.800991,31,91,69,80,0.0,29.34,29.98,2.1,13,3.7,63,445,1911,80,81,69,70,56.19500657655519,179,1,1,1,1,0,0,0,0
46,T002,2,8/1/2013,41.95469,-87.800991,30,82,61,72,0.0,29.29,29.95,6.2,29,7.1,54,445,1911,73,73,62,62,53.11966776632261,34,0,1,1,1,0,0,0,0
47,T002,2,8/12/2011,41.95469,-87.800991,32,82,65,74,0.0,29.28,29.93,8.2,19,8.4,57,456,1858,70,74,62,65,55.370380068334434,14,0,0,0,1,0,0,0,0
48,T002,2,8/15/2007,41.95469,-87.800991,33,81,72,77,0.83,29.23,29.87,4.9,6,7.1,69,459,1854,71,72,65,67,76.37954483234944,76,1,1,1,1,0,0,0,0
49,T002,2,8/15/2013,41.95469,-87.800991,32,74,57,66,0.0,29.47,30.13,4.5,22,5.0,50,459,1854,70,69,58,57,56.29924377769591,11,0,1,1,1,0,0,0,0
50,T002,2,8/19/2011,41.95469,-87.800991,33,86,67,77,0.0,29.23,29.87,4.7,13,5.8,62,503,1848,73,74,66,67,59.88201402804045,1,0,0,0,1,0,0,0,0
51,T002,2,8/21/2007,41.95469,-87.800991,34,85,69,77,0.01,29.26,29.89,3.5,17,6.0,70,505,1845,78,80,69,69,79.0351509846267,70,1,0,1,1,1,0,0,0
52,T002,2,8/22/2013,41.95469,-87.800991,33,78,67,73,0.36,29.42,30.05,2.5,24,7.0,66,506,1843,73,73,64,64,78.72123950619469,46,2,0,1,1,0,0,0,0
53,T002,2,8/24/2007,41.95469,-87.800991,34,81,69,75,0.2,29.16,29.81,5.5,25,7.3,67,509,1840,71,72,63,65,76.20658896526173,62,1,0,1,1,0,0,0,0
54,T002,2,8/25/2009,41.95469,-87.800991,34,82,61,72,0.0,29.39,30.04,8.3,21,8.6,61,510,1839,66,68,61,62,68.33135540319206,21,0,1,0,1,0,0,0,0
55,T002,2,8/26/2011,41.95469,-87.800991,34,83,61,72,0.0,29.32,29.97,1.2,20,3.4,58,511,1837,70,73,61,64,61.397964442270506,39,0,1,0,1,0,0,0,0
56,T002,2,8/29/2013,41.95469,-87.800991,34,87,69,78,0.0,29.36,30.0,4.2,10,4.6,65,514,1832,76,82,69,69,64.3602354171191,70,1,1,1,1,0,0,0,0
57,T002,2,8/5/2011,41.95469,-87.800991,31,84,70,77,0.0,29.26,29.91,5.2,7,6.0,68,449,1907,77,79,70,72,73.8025121880607,24,0,1,0,1,0,0,0,0
58,T002,2,8/7/2007,41.95469,-87.800991,32,92,73,83,0.06,29.11,29.74,6.3,24,8.8,73,451,1904,80,81,73,73,71.89951546063524,26,0,1,1,1,0,0,0,0
59,T002,2,8/7/2009,41.95469,-87.800991,31,74,67,71,0.23,29.41,30.08,6.4,15,7.2,59,451,1904,79,79,70,68,65.83068248854447,13,0,0,1,1,0,0,0,0
60,T002,2,8/8/2013,41.95469,-87.800991,31,79,69,74,0.0,29.33,29.96,10.5,5,10.8,55,452,1903,73,73,63,62,51.50253858578976,196,2,1,1,1,0,0,0,0
61,T002,2,9/1/2011,41.95469,-87.800991,35,94,74,84,0.0,29.26,29.89,5.8,21,6.3,70,517,1827,79,84,71,76,62.887328235813854,22,0,0,1,1,0,0,0,0
62,T002,2,9/12/2007,41.95469,-87.800991,37,66,46,56,0.0,29.46,30.11,1.9,5,6.0,43,528,1809,56,64,46,50,61.61093846002645,8,1,0,1,1,0,0,0,0
63,T002,2,9/12/2011,41.95469,-87.800991,37,86,64,75,0.0,29.24,29.9,9.2,23,9.3,59,528,1809,54,67,48,58,57.533389096468824,8,0,1,1,1,0,0,0,0
64,T002,2,9/12/2013,41.95469,-87.800991,36,83,63,73,0.06,29.34,29.97,6.8,34,9.8,58,528,1809,60,61,54,54,59.36035569550202,44,1,0,1,1,0,0,0,0
65,T002,2,9/14/2009,41.95469,-87.800991,37,84,59,72,0.0,29.4,30.05,1.1,13,2.7,56,530,1805,67,73,59,63,57.126939972459,6,0,0,0,1,0,0,0,0
66,T002,2,9/16/2011,41.95469,-87.800991,37,59,48,54,0.0,29.65,30.33,2.6,13,3.7,38,532,1760,61,59,54,50,54.58319207123542,2,0,0,0,1,0,0,0,0
67,T002,2,9/17/2009,41.95469,-87.800991,37,71,54,63,0.0,29.51,30.17,4.5,8,5.4,51,533,1758,65,65,54,52,64.87706300814675,6,0,1,0,1,0,0,0,0
68,T002,2,9/18/2007,41.95469,-87.800991,38,89,66,78,0.0,29.41,30.05,12.5,19,12.8,57,535,1756,76,76,65,66,48.47256086202582,41,0,0,1,1,0,0,0,0
69,T002,2,9/19/2013,41.95469,-87.800991,37,84,70,77,0.0,29.21,29.87,7.8,16,10.0,66,536,1755,60,68,52,59,68.8762683364799,27,0,0,1,1,0,0,0,0
70,T002,2,9/23/2011,41.95469,-87.800991,38,62,48,55,0.02,29.38,30.05,4.1,36,6.4,46,540,1748,57,57,51,51,71.61961725473621,18,1,1,0,1,0,0,0,0
71,T002,2,9/24/2007,41.95469,-87.800991,39,91,71,81,0.0,29.34,29.98,10.0,19,10.5,62,541,1746,63,75,55,67,52.50833622360448,74,0,0,1,1,0,0,0,0
72,T002,2,9/25/2009,41.95469,-87.800991,38,70,60,65,0.02,29.44,30.11,5.4,11,6.3,57,542,1744,62,62,53,56,75.31445549860848,29,0,1,1,1,0,0,0,0
73,T002,2,9/26/2013,41.95469,-87.800991,38,75,55,65,0.0,29.4,30.04,4.1,9,4.6,52,543,1742,69,67,55,55,62.76833126674746,13,0,0,1,1,0,0,0,0
74,T002,2,9/30/2011,41.95469,-87.800991,39,58,47,53,0.17,29.37,30.0,15.4,34,16.3,42,547,1735,53,50,44,44,66.13832421692287,1,0,1,0,0,0,0,0,0
75,T002,2,9/4/2007,41.95469,-87.800991,36,90,67,79,0.0,29.34,29.99,2.2,24,5.0,59,520,1822,78,79,71,67,50.39386827036606,23,2,0,1,1,0,0,0,0
76,T002,2,9/6/2013,41.95469,-87.800991,35,85,62,74,0.0,29.44,30.11,4.3,17,6.0,55,522,1819,77,77,68,65,51.50253858578976,90,0,0,1,1,0,0,0,0
77,T003,2,10/1/2009,41.964242,-87.757639,39,59,44,52,0.59,29.18,29.9,8.8,13,8.7,46,548,1734,52,52,47,47,79.93203780980954,5,0,1,0,0,0,0,0,0
78,T003,2,10/4/2007,41.964242,-87.757639,40,83,56,70,0.0,29.39,30.03,4.6,17,5.9,56,552,1729,77,73,68,62,61.1421746910109,19,0,0,1,1,0,0,0,0
79,T003,2,5/28/2009,41.964242,-87.757639,21,64,55,60,0.0,29.11,29.75,6.8,29,8.3,51,421,1916,62,62,50,55,72.137331284171,1,0,0,0,1,0,0,0,0
80,T003,2,6/10/2011,41.964242,-87.757639,23,71,51,61,0.44,29.26,29.92,6.1,1,7.5,56,416,1926,59,59,52,52,83.60281986999829,3,0,0,0,1,0,0,0,0
81,T003,2,6/12/2009,41.964242,-87.757639,23,72,50,61,0.0,29.3,29.95,5.0,6,6.7,49,416,1927,64,61,54,54,64.63310849589597,41,0,1,0,1,0,0,0,0
82,T003,2,6/14/2013,41.964242,-87.757639,23,76,57,67,0.0,29.4,30.04,6.0,5,7.8,50,416,1928,74,69,61,58,54.3838618372742,3,0,1,0,0,0,0,0,0
83,T003,2,6/17/2011,41.964242,-87.757639,24,82,64,73,0.0,29.18,29.81,5.3,7,6.2,60,416,1929,73,73,64,63,63.75884189409329,3,0,0,0,1,0,0,0,0
84,T003,2,6/19/2009,41.964242,-87.757639,24,88,66,77,0.87,29.03,29.68,6.3,18,10.5,68,416,1930,79,78,69,68,73.8025121880607,9,0,0,0,1,0,0,0,0
85,T003,2,6/2/2009,41.964242,-87.757639,22,61,50,56,0.06,29.42,30.07,8.3,3,9.2,47,419,1920,56,54,47,47,71.72422019136161,4,0,1,0,0,0,0,0,0
86,T003,2,6/21/2013,41.964242,-87.757639,24,85,70,78,0.11,29.39,30.04,7.6,19,9.6,63,416,1930,77,77,68,70,60.01107855818599,3,0,1,0,0,0,0,0,0
87,T003,2,6/24/2011,41.964242,-87.757639,25,68,60,64,0.0,29.13,29.76,8.5,29,8.7,55,417,1931,70,69,61,60,72.54211374670008,11,0,1,0,1,0,0,0,0
88,T003,2,6/26/2007,41.964242,-87.757639,26,91,73,82,0.0,29.45,30.09,7.3,21,8.1,69,418,1931,67,81,61,71,64.83182192304785,2,0,1,0,0,0,0,0,0
89,T003,2,6/26/2009,41.964242,-87.757639,25,86,72,79,0.0,29.2,29.83,6.4,4,8.0,61,418,1931,76,79,66,67,54.11135105682001,18,0,1,0,1,0,0,0,0
90,T003,2,6/27/2013,41.964242,-87.757639,25,91,66,79,0.59,29.08,29.71,6.1,29,6.8,65,418,1931,70,76,64,67,62.2760878775776,20,0,1,0,1,0,0,0,0
91,T003,2,6/30/2011,41.964242,-87.757639,26,89,66,78,0.03,29.34,29.99,9.2,16,10.6,61,419,1931,80,80,70,70,55.92225541850748,2,0,1,0,1,0,0,0,0
92,T003,2,6/5/2009,41.964242,-87.757639,22,80,47,64,0.0,29.23,29.91,6.3,25,7.2,43,417,1923,64,61,52,51,46.34538974472218,1,0,1,0,0,0,0,0,0
93,T003,2,7/10/2009,41.964242,-87.757639,27,84,67,76,0.12,29.41,30.04,3.6,21,4.6,65,425,1929,72,76,63,67,68.76831510279386,16,0,1,0,1,0,1,0,0
94,T003,2,7/11/2007,41.964242,-87.757639,28,77,63,70,0.0,29.28,29.92,9.1,30,11.2,51,426,1928,70,70,61,61,50.916423485910975,2,0,0,0,1,0,0,0,0
95,T003,2,7/11/2011,41.964242,-87.757639,28,90,70,80,0.13,29.18,29.81,5.3,24,8.0,70,426,1928,74,80,66,70,71.6029668387688,13,0,1,1,1,0,0,0,0
96,T003,2,7/12/2013,41.964242,-87.757639,27,82,60,71,0.0,29.44,30.09,4.1,8,5.4,54,427,1928,80,73,71,62,54.95084226417701,115,0,1,0,1,0,0,0,0
97,T003,2,7/15/2011,41.964242,-87.757639,28,86,71,79,0.0,29.33,29.96,6.2,10,6.8,60,429,1926,82,80,74,71,52.22353196842017,104,0,1,1,1,0,0,0,0
98,T003,2,7/17/2009,41.964242,-87.757639,28,70,58,64,0.0,29.21,29.86,10.1,29,10.4,52,431,1925,66,65,58,58,64.99819801604751,3,0,1,0,1,0,0,0,0
99,T003,2,7/18/2007,41.964242,-87.757639,29,85,69,77,0.92,29.18,29.83,10.3,24,10.6,69,432,1924,68,73,62,63,76.37954483234944,2,0,0,1,1,0,0,0,0
100,T003,2,7/19/2013,41.964242,-87.757639,28,97,75,86,0.0,29.17,29.82,13.4,24,13.9,69,433,1923,80,80,72,72,57.000683314065704,7,1,0,0,1,0,0,0,0
101,T003,2,7/2/2007,41.964242,-87.757639,27,77,58,68,0.0,29.55,30.21,7.4,12,8.5,50,420,1931,76,72,67,60,52.54132558106588,1,0,1,0,0,0,0,0,0
102,T003,2,7/24/2009,41.964242,-87.757639,29,83,62,73,0.19,29.14,29.82,8.7,23,9.6,60,437,1919,74,74,64,66,63.75884189409329,11,0,1,0,1,0,0,0,0
103,T003,2,7/25/2011,41.964242,-87.757639,30,90,73,82,0.01,29.25,29.89,2.1,35,6.1,67,438,1918,80,79,72,72,60.52200223913138,74,0,1,1,1,0,0,0,0
104,T003,2,7/25/2013,41.964242,-87.757639,29,81,58,70,0.0,29.39,30.05,2.7,23,3.9,52,438,1918,63,70,57,62,52.83156593782089,16,0,1,0,0,0,0,0,0
105,T003,2,7/27/2007,41.964242,-87.757639,30,83,70,77,0.04,29.16,29.8,1.2,36,8.1,67,440,1917,76,75,66,70,71.30206812410943,4,0,1,0,1,0,0,0,0
106,T003,2,7/29/2011,41.964242,-87.757639,30,86,74,80,0.36,29.34,29.96,3.5,4,5.6,69,442,1915,80,80,73,68,69.19708443215043,148,0,1,1,1,0,0,0,0
107,T003,2,7/6/2009,41.964242,-87.757639,27,85,63,74,0.0,29.2,29.84,4.2,30,5.5,54,423,1930,69,71,62,63,49.659407487470894,13,0,1,0,0,0,0,0,0
108,T003,2,7/8/2013,41.964242,-87.757639,27,87,71,79,0.84,29.31,29.95,10.0,22,10.5,70,424,1929,77,79,66,73,73.98921543414879,16,0,1,0,1,0,0,0,0
109,T003,2,8/1/2007,41.964242,-87.757639,31,91,69,80,0.0,29.34,29.98,2.1,13,3.7,63,445,1911,80,81,69,70,56.19500657655519,9,0,1,1,1,0,0,0,0
110,T003,2,8/1/2013,41.964242,-87.757639,30,82,61,72,0.0,29.29,29.95,6.2,29,7.1,54,445,1911,73,73,62,62,53.11966776632261,61,1,1,1,1,0,0,0,0
111,T003,2,8/12/2011,41.964242,-87.757639,32,82,65,74,0.0,29.28,29.93,8.2,19,8.4,57,456,1858,70,74,62,65,55.370380068334434,7,0,0,1,1,0,0,0,0
112,T003,2,8/13/2009,41.964242,-87.757639,32,86,63,75,0.0,29.44,30.09,2.0,16,4.0,55,457,1856,78,76,67,63,49.80730647655911,11,0,1,0,1,0,0,0,0
113,T003,2,8/15/2007,41.964242,-87.757639,33,81,72,77,0.83,29.23,29.87,4.9,6,7.1,69,459,1854,71,72,65,67,76.37954483234944,84,2,1,1,1,0,0,0,0
114,T003,2,8/15/2013,41.964242,-87.757639,32,74,57,66,0.0,29.47,30.13,4.5,22,5.0,50,459,1854,70,69,58,57,56.29924377769591,9,0,1,1,1,0,0,0,0
115,T003,2,8/19/2011,41.964242,-87.757639,33,86,67,77,0.0,29.23,29.87,4.7,13,5.8,62,503,1848,73,74,66,67,59.88201402804045,19,0,1,0,1,0,0,0,0
116,T003,2,8/21/2007,41.964242,-87.757639,34,85,69,77,0.01,29.26,29.89,3.5,17,6.0,70,505,1845,78,80,69,69,79.0351509846267,29,1,0,1,1,0,0,0,0
117,T003,2,8/22/2013,41.964242,-87.757639,33,78,67,73,0.36,29.42,30.05,2.5,24,7.0,66,506,1843,73,73,64,64,78.72123950619469,23,1,0,1,0,0,0,0,0
118,T003,2,8/24/2007,41.964242,-87.757639,34,81,69,75,0.2,29.16,29.81,5.5,25,7.3,67,509,1840,71,72,63,65,76.20658896526173,32,1,1,1,1,0,0,0,0
119,T003,2,8/26/2011,41.964242,-87.757639,34,83,61,72,0.0,29.32,29.97,1.2,20,3.4,58,511,1837,70,73,61,64,61.397964442270506,14,0,0,0,1,0,0,0,0
120,T003,2,8/29/2013,41.964242,-87.757639,34,87,69,78,0.0,29.36,30.0,4.2,10,4.6,65,514,1832,76,82,69,69,64.3602354171191,30,1,0,0,1,0,0,0,0
121,T003,2,8/5/2011,41.964242,-87.757639,31,84,70,77,0.0,29.26,29.91,5.2,7,6.0,68,449,1907,77,79,70,72,73.8025121880607,54,0,0,0,1,0,0,0,0
122,T003,2,8/7/2007,41.964242,-87.757639,32,92,73,83,0.06,29.11,29.74,6.3,24,8.8,73,451,1904,80,81,73,73,71.89951546063524,10,0,0,1,1,0,0,0,0
123,T003,2,8/7/2009,41.964242,-87.757639,31,74,67,71,0.23,29.41,30.08,6.4,15,7.2,59,451,1904,79,79,70,68,65.83068248854447,6,0,0,1,1,0,0,0,0
124,T003,2,8/8/2013,41.964242,-87.757639,31,79,69,74,0.0,29.33,29.96,10.5,5,10.8,55,452,1903,73,73,63,62,51.50253858578976,28,1,0,0,1,0,0,0,0
125,T003,2,9/1/2011,41.964242,-87.757639,35,94,74,84,0.0,29.26,29.89,5.8,21,6.3,70,517,1827,79,84,71,76,62.887328235813854,46,1,1,1,1,0,0,0,0
126,T003,2,9/12/2007,41.964242,-87.757639,37,66,46,56,0.0,29.46,30.11,1.9,5,6.0,43,528,1809,56,64,46,50,61.61093846002645,2,0,0,0,1,0,0,0,0
127,T003,2,9/12/2011,41.964242,-87.757639,37,86,64,75,0.0,29.24,29.9,9.2,23,9.3,59,528,1809,54,67,48,58,57.533389096468824,28,1,1,1,1,0,0,0,0
128,T003,2,9/12/2013,41.964242,-87.757639,36,83,63,73,0.06,29.34,29.97,6.8,34,9.8,58,528,1809,60,61,54,54,59.36035569550202,10,0,0,0,1,0,0,0,0
129,T003,2,9/14/2009,41.964242,-87.757639,37,84,59,72,0.0,29.4,30.05,1.1,13,2.7,56,530,1805,67,73,59,63,57.126939972459,2,0,0,0,1,0,0,0,0
130,T003,2,9/16/2011,41.964242,-87.757639,37,59,48,54,0.0,29.65,30.33,2.6,13,3.7,38,532,1760,61,59,54,50,54.58319207123542,1,0,0,1,0,0,0,0,0
131,T003,2,9/17/2009,41.964242,-87.757639,37,71,54,63,0.0,29.51,30.17,4.5,8,5.4,51,533,1758,65,65,54,52,64.87706300814675,3,0,0,1,1,1,0,0,0
132,T003,2,9/18/2007,41.964242,-87.757639,38,89,66,78,0.0,29.41,30.05,12.5,19,12.8,57,535,1756,76,76,65,66,48.47256086202582,4,0,0,0,1,0,0,0,0
133,T003,2,9/19/2013,41.964242,-87.757639,37,84,70,77,0.0,29.21,29.87,7.8,16,10.0,66,536,1755,60,68,52,59,68.8762683364799,5,0,0,1,1,0,0,0,0
134,T003,2,9/23/2011,41.964242,-87.757639,38,62,48,55,0.02,29.38,30.05,4.1,36,6.4,46,540,1748,57,57,51,51,71.61961725473621,43,1,0,0,1,0,0,0,0
135,T003,2,9/24/2007,41.964242,-87.757639,39,91,71,81,0.0,29.34,29.98,10.0,19,10.5,62,541,1746,63,75,55,67,52.50833622360448,12,0,0,1,1,0,0,0,0
136,T003,2,9/25/2009,41.964242,-87.757639,38,70,60,65,0.02,29.44,30.11,5.4,11,6.3,57,542,1744,62,62,53,56,75.31445549860848,9,0,0,1,1,0,0,0,0
137,T003,2,9/26/2013,41.964242,-87.757639,38,75,55,65,0.0,29.4,30.04,4.1,9,4.6,52,543,1742,69,67,55,55,62.76833126674746,13,1,0,1,1,0,0,0,0
138,T003,2,9/30/2011,41.964242,-87.757639,39,58,47,53,0.17,29.37,30.0,15.4,34,16.3,42,547,1735,53,50,44,44,66.13832421692287,2,0,0,0,1,0,0,0,0
139,T003,2,9/4/2007,41.964242,-87.757639,36,90,67,79,0.0,29.34,29.99,2.2,24,5.0,59,520,1822,78,79,71,67,50.39386827036606,2,0,0,0,1,0,0,0,0
